Country/Region,Province/State,Lat,Long,Total_deaths_01_2020,Total_deaths_02_2020,Total_deaths_03_2020,Total_deaths_04_2020,Total_deaths_05_2020,Total_deaths_06_2020,Total_deaths_07_2020,Total_deaths_08_2020,Total_deaths_09_2020,Total_deaths_10_2020,Total_deaths_11_2020,Total_deaths_12_2020,Total_deaths_01_2021,Total_deaths_02_2021,Total_deaths_03_2021,Total_deaths_04_2021,Total_deaths_05_2021,Total_deaths_06_2021,Total_deaths_07_2021,Total_deaths_08_2021,Total_deaths_09_2021,Total_deaths_10_2021,Total_deaths_11_2021,Total_deaths_12_2021,Total_deaths_01_2022,Total_deaths_02_2022,Total_deaths_03_2022,Total_deaths_04_2022,Total_deaths_05_2022,Total_deaths_06_2022,Total_deaths_07_2022,Total_deaths_08_2022,Total_deaths_09_2022,Total_deaths_10_2022,Total_deaths_11_2022,Total_deaths_12_2022,Total_deaths_01_2023,Total_deaths_02_2023,Total_deaths_03_2023
San Marino,Unknown,43.9424,12.4578,0,1,26,41,42,42,42,42,42,42,45,59,67,74,84,90,90,90,90,90,91,92,93,100,109,112,113,115,115,115,118,118,118,119,119,121,122,122,122
Sao Tome and Principe,Unknown,0.1864,6.6131,0,0,0,0,12,13,15,15,15,16,17,17,17,29,34,35,38,41,37,37,50,56,56,57,69,72,73,73,73,73,74,76,77,77,77,77,77,77,77
Saudi Arabia,Unknown,23.885942,45.079162,0,0,10,162,503,1649,2866,3897,4768,5402,5896,6223,6375,6494,6669,6957,7362,7819,8237,8512,8716,8794,8836,8877,8940,8998,9045,9088,9148,9208,9251,9295,9352,9407,9464,9518,9574,9615,9618
Senegal,Unknown,14.4974,-14.4524,0,0,0,9,42,112,205,284,311,324,333,410,628,872,1051,1107,1139,1166,1353,1765,1858,1878,1885,1890,1946,1960,1988,1967,1967,1968,1968,1968,1968,1968,1968,1968,1971,1971,1971
Serbia,Unknown,44.0165,21.0059,0,0,16,179,243,277,573,713,749,820,1604,3211,4020,4443,5308,6362,6865,7047,7114,7292,8234,9955,11691,12714,13629,15241,15799,15991,16081,16126,16280,16684,17006,17242,17387,17519,17701,17826,17881
Seychelles,Unknown,-4.6796,55.492,0,0,0,0,0,0,0,0,0,0,0,0,3,11,20,27,40,56,79,102,112,119,125,134,154,163,164,166,167,167,168,169,169,171,171,172,172,172,172
Sierra Leone,Unknown,8.460555,-11.779889,0,0,0,7,46,60,67,70,72,74,74,76,79,79,79,79,79,100,120,121,121,121,121,123,125,125,125,125,125,125,125,126,126,126,126,126,126,126,126
Singapore,Unknown,1.2833,103.8333,0,0,3,15,23,26,27,27,27,28,29,29,29,29,30,30,33,36,37,55,95,407,718,828,855,1019,1268,1335,1389,1413,1500,1592,1618,1680,1703,1711,1722,1722,1722
Slovakia,Unknown,48.669,19.699,0,0,1,23,28,28,29,33,48,219,839,2138,4642,7189,9719,11684,12343,12510,12540,12548,12637,13034,14418,16635,17830,18485,19352,19879,20100,20147,20223,20236,20457,20606,20733,20823,20942,21021,21035
Slovenia,Unknown,46.1512,14.9955,0,0,15,91,108,111,119,133,150,338,1435,2697,3503,3836,4047,4250,4375,4419,4429,4450,4561,4745,5224,5589,5866,6307,6487,6592,6637,6651,6698,6783,6822,6889,6933,7008,7056,7071,7078
Solomon Islands,Unknown,-9.6457,160.1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,99,133,141,146,153,153,153,153,153,153,153,153,153,153
Somalia,Unknown,5.152149,46.199616,0,0,0,28,78,90,93,98,99,104,113,130,130,239,529,713,769,775,811,977,1111,1208,1327,1333,1335,1348,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361,1361
South Africa,Unknown,-30.5595,22.9375,0,0,5,103,683,2657,8005,14149,16734,19276,21535,28469,44164,49993,52846,54350,56506,60647,72013,82261,87626,89177,89843,91145,95093,99412,100032,100363,101190,101764,101982,102084,102185,102311,102428,102568,102595,102595,102595
South Sudan,Unknown,6.877,31.307,0,0,0,0,10,38,46,47,49,58,61,63,64,93,109,115,115,117,119,120,130,133,133,135,137,137,138,138,138,138,138,138,138,138,138,138,138,138,138
Spain,Unknown,40.463667,-3.74922,0,0,8464,24543,28752,28355,28445,29094,31791,35878,45069,50837,58319,69142,75459,78216,79953,80875,81486,84340,86415,87368,88052,89405,93225,99410,102392,104456,106341,107906,110719,112600,114179,115078,115901,117095,118434,119380,119479
Sri Lanka,Unknown,7.873054,80.771797,0,0,2,7,10,11,11,12,13,20,118,204,316,464,568,678,1441,3077,4436,9185,12906,13743,14346,14979,15441,16222,16477,16504,16517,16521,16556,16698,16761,16780,16803,16817,16828,16830,16830
Sudan,Unknown,12.8628,30.2176,0,0,2,31,286,572,746,823,836,837,1249,1468,1807,1880,2063,2349,2631,2754,2776,2831,2902,3099,3159,3331,3441,3908,4907,4931,4942,4951,4957,4961,4961,4972,4990,4994,5001,5011,5017
Summer Olympics 2020,Unknown,35.6491,139.7737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Suriname,Unknown,3.9193,-56.0278,0,0,0,1,1,13,26,71,104,111,117,122,154,172,177,204,302,522,649,721,884,1092,1167,1189,1263,1317,1324,1328,1350,1369,1380,1383,1385,1390,1393,1393,1398,1400,1404
Sweden,Unknown,60.128161,18.643501,0,0,385,2586,4395,5333,5743,5821,5893,5938,6681,8727,11591,12826,13465,14048,14451,14629,14656,14692,14864,15025,15151,15310,15855,17142,18365,18772,18977,19124,19358,19810,20225,20659,21034,21827,23279,23662,23777
Switzerland,Unknown,46.8182,8.2275,0,0,485,1665,1796,1809,1827,1848,1908,2378,5053,7873,9523,10016,10297,10555,10712,10775,10793,10899,11087,11234,11522,12217,12708,13101,13564,13712,13800,13831,13891,13974,14009,14065,14137,14173,14244,14244,14210
Syria,Unknown,34.802075,38.996815,0,0,2,3,5,9,43,112,200,288,417,711,921,1027,1265,1592,1770,1876,1914,2013,2247,2558,2749,2897,2989,3075,3141,3150,3150,3150,3150,3163,3163,3163,3163,3163,3164,3164,3164
Taiwan*,Unknown,23.7,121.0,0,1,5,6,7,7,7,7,7,7,7,7,8,9,10,12,124,648,787,835,842,847,848,850,851,853,853,865,2255,6651,8927,9914,11053,12831,14334,15253,16308,17672,17672
